Jan  1 00:00:18 debian-armhf kernel: imklog 5.8.11, log source = /proc/kmsg started.
Jan  1 00:00:18 debian-armhf kernel: [    4.110805] gpio gpiochip0: (gpio-0-31): created GPIO range 16->17 ==> 44e10800.pinmux PIN 71->72
Jan  1 00:00:18 debian-armhf kernel: [    4.110826] gpio gpiochip0: (gpio-0-31): created GPIO range 18->18 ==> 44e10800.pinmux PIN 135->135
Jan  1 00:00:18 debian-armhf kernel: [    4.110849] gpio gpiochip0: (gpio-0-31): created GPIO range 19->20 ==> 44e10800.pinmux PIN 108->109
Jan  1 00:00:18 debian-armhf kernel: [    4.110871] gpio gpiochip0: (gpio-0-31): created GPIO range 21->21 ==> 44e10800.pinmux PIN 73->73
Jan  1 00:00:18 debian-armhf kernel: [    4.110893] gpio gpiochip0: (gpio-0-31): created GPIO range 22->23 ==> 44e10800.pinmux PIN 8->9
Jan  1 00:00:18 debian-armhf kernel: [    4.110914] gpio gpiochip0: (gpio-0-31): created GPIO range 26->27 ==> 44e10800.pinmux PIN 10->11
Jan  1 00:00:18 debian-armhf kernel: [    4.110945] gpio gpiochip0: (gpio-0-31): created GPIO range 28->28 ==> 44e10800.pinmux PIN 74->74
Jan  1 00:00:18 debian-armhf kernel: [    4.110968] gpio gpiochip0: (gpio-0-31): created GPIO range 29->29 ==> 44e10800.pinmux PIN 81->81
Jan  1 00:00:18 debian-armhf kernel: [    4.110990] gpio gpiochip0: (gpio-0-31): created GPIO range 30->31 ==> 44e10800.pinmux PIN 28->29
Jan  1 00:00:18 debian-armhf kernel: [    4.111445] gpio gpiochip0: (gpio-0-31): added GPIO chardev (254:0)
Jan  1 00:00:18 debian-armhf kernel: [    4.111591] gpio gpiochip0: registered GPIOs 0 to 31 on gpio-0-31
Jan  1 00:00:18 debian-armhf kernel: [    4.111661] OMAP GPIO hardware version 0.1
Jan  1 00:00:18 debian-armhf kernel: [    4.117226] i2c i2c-0: GPIO lookup for consumer scl
Jan  1 00:00:18 debian-armhf kernel: [    4.117248] i2c i2c-0: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.117308] of_get_named_gpiod_flags: can't parse 'scl-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.117350] of_get_named_gpiod_flags: can't parse 'scl-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.117371] i2c i2c-0: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.117384] i2c i2c-0: No GPIO consumer scl found
Jan  1 00:00:18 debian-armhf kernel: [    4.117409] i2c i2c-0: GPIO lookup for consumer sda
Jan  1 00:00:18 debian-armhf kernel: [    4.117419] i2c i2c-0: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.117458] of_get_named_gpiod_flags: can't parse 'sda-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.117496] of_get_named_gpiod_flags: can't parse 'sda-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.117510] i2c i2c-0: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.117522] i2c i2c-0: No GPIO consumer sda found
Jan  1 00:00:18 debian-armhf kernel: [    4.148960] tps65217-pmic: Failed to locate of_node [id: -1]
Jan  1 00:00:18 debian-armhf kernel: [    4.160032] mmc1: new high speed MMC card at address 0001
Jan  1 00:00:18 debian-armhf kernel: [    4.166801] mmcblk1: mmc1:0001 MMC04G 3.66 GiB 
Jan  1 00:00:18 debian-armhf kernel: [    4.172414] mmcblk1boot0: mmc1:0001 MMC04G partition 1 1.00 MiB
Jan  1 00:00:18 debian-armhf kernel: [    4.179137] mmcblk1boot1: mmc1:0001 MMC04G partition 2 1.00 MiB
Jan  1 00:00:18 debian-armhf kernel: [    4.185520] mmcblk1rpmb: mmc1:0001 MMC04G partition 3 128 KiB, chardev (244:0)
Jan  1 00:00:18 debian-armhf kernel: [    4.196764]  mmcblk1: p1 p2 p3 p4
Jan  1 00:00:18 debian-armhf kernel: [    4.212418] tps65217-bl: Failed to locate of_node [id: -1]
Jan  1 00:00:18 debian-armhf kernel: [    4.223599] tps65217 0-0024: TPS65217 ID 0xe version 1.2
Jan  1 00:00:18 debian-armhf kernel: [    4.230782] pca953x 0-0023: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    4.230805] pca953x 0-0023: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.230862] of_get_named_gpiod_flags: can't parse 'reset-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@23[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.230907] of_get_named_gpiod_flags: can't parse 'reset-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@23[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.230927] pca953x 0-0023: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.230940] pca953x 0-0023: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    4.230982] pca953x 0-0023: supply vcc not found, using dummy regulator
Jan  1 00:00:18 debian-armhf kernel: [    4.237936] pca953x 0-0023: using no AI
Jan  1 00:00:18 debian-armhf kernel: [    4.242252] gpiochip_find_base: found new base at 504
Jan  1 00:00:18 debian-armhf kernel: [    4.243107] gpio gpiochip1: (0-0023): added GPIO chardev (254:1)
Jan  1 00:00:18 debian-armhf kernel: [    4.243238] gpio gpiochip1: registered GPIOs 504 to 511 on 0-0023
Jan  1 00:00:18 debian-armhf kernel: [    4.244020] pca953x 0-0022: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    4.244038] pca953x 0-0022: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.244092] of_get_named_gpiod_flags: can't parse 'reset-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@22[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.244136] of_get_named_gpiod_flags: can't parse 'reset-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@22[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.244153] pca953x 0-0022: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.244167] pca953x 0-0022: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    4.244201] pca953x 0-0022: supply vcc not found, using dummy regulator
Jan  1 00:00:18 debian-armhf kernel: [    4.251235] pca953x 0-0022: using no AI
Jan  1 00:00:18 debian-armhf kernel: [    4.255533] gpiochip_find_base: found new base at 496
Jan  1 00:00:18 debian-armhf kernel: [    4.256316] gpio gpiochip2: (0-0022): added GPIO chardev (254:2)
Jan  1 00:00:18 debian-armhf kernel: [    4.256438] gpio gpiochip2: registered GPIOs 496 to 503 on 0-0022
Jan  1 00:00:18 debian-armhf kernel: [    4.257105] pca953x 0-0020: GPIO lookup for consumer reset
Jan  1 00:00:18 debian-armhf kernel: [    4.257122] pca953x 0-0020: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.257174] of_get_named_gpiod_flags: can't parse 'reset-gpios' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@20[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.257218] of_get_named_gpiod_flags: can't parse 'reset-gpio' property of node '/ocp/interconnect@44c00000/segment@200000/target-module@b000/i2c@0/pca9554@20[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.257236] pca953x 0-0020: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.257249] pca953x 0-0020: No GPIO consumer reset found
Jan  1 00:00:18 debian-armhf kernel: [    4.257282] pca953x 0-0020: supply vcc not found, using dummy regulator
Jan  1 00:00:18 debian-armhf kernel: [    4.264261] pca953x 0-0020: using no AI
Jan  1 00:00:18 debian-armhf kernel: [    4.268619] gpiochip_find_base: found new base at 488
Jan  1 00:00:18 debian-armhf kernel: [    4.269474] gpio gpiochip3: (0-0020): added GPIO chardev (254:3)
Jan  1 00:00:18 debian-armhf kernel: [    4.269601] gpio gpiochip3: registered GPIOs 488 to 495 on 0-0020
Jan  1 00:00:18 debian-armhf kernel: [    4.269848] omap_i2c 44e0b000.i2c: bus 0 rev0.11 at 100 kHz
Jan  1 00:00:18 debian-armhf kernel: [    4.276194] gpio gpiochip4: (gpio-32-63): created GPIO range 0->7 ==> 44e10800.pinmux PIN 0->7
Jan  1 00:00:18 debian-armhf kernel: [    4.276222] gpio gpiochip4: (gpio-32-63): created GPIO range 8->11 ==> 44e10800.pinmux PIN 90->93
Jan  1 00:00:18 debian-armhf kernel: [    4.276243] gpio gpiochip4: (gpio-32-63): created GPIO range 12->27 ==> 44e10800.pinmux PIN 12->27
Jan  1 00:00:18 debian-armhf kernel: [    4.276262] gpio gpiochip4: (gpio-32-63): created GPIO range 28->31 ==> 44e10800.pinmux PIN 30->33
Jan  1 00:00:18 debian-armhf kernel: [    4.276616] gpio gpiochip4: (gpio-32-63): added GPIO chardev (254:4)
Jan  1 00:00:18 debian-armhf kernel: [    4.276742] gpio gpiochip4: registered GPIOs 32 to 63 on gpio-32-63
Jan  1 00:00:18 debian-armhf kernel: [    4.277241] gpio gpiochip5: (gpio-64-95): created GPIO range 0->17 ==> 44e10800.pinmux PIN 34->51
Jan  1 00:00:18 debian-armhf kernel: [    4.277267] gpio gpiochip5: (gpio-64-95): created GPIO range 18->21 ==> 44e10800.pinmux PIN 77->80
Jan  1 00:00:18 debian-armhf kernel: [    4.277288] gpio gpiochip5: (gpio-64-95): created GPIO range 22->31 ==> 44e10800.pinmux PIN 56->65
Jan  1 00:00:18 debian-armhf kernel: [    4.277607] gpio gpiochip5: (gpio-64-95): added GPIO chardev (254:5)
Jan  1 00:00:18 debian-armhf kernel: [    4.277724] gpio gpiochip5: registered GPIOs 64 to 95 on gpio-64-95
Jan  1 00:00:18 debian-armhf kernel: [    4.278263] gpio gpiochip6: (gpio-96-127): created GPIO range 0->4 ==> 44e10800.pinmux PIN 66->70
Jan  1 00:00:18 debian-armhf kernel: [    4.278291] gpio gpiochip6: (gpio-96-127): created GPIO range 5->6 ==> 44e10800.pinmux PIN 98->99
Jan  1 00:00:18 debian-armhf kernel: [    4.278310] gpio gpiochip6: (gpio-96-127): created GPIO range 7->8 ==> 44e10800.pinmux PIN 75->76
Jan  1 00:00:18 debian-armhf kernel: [    4.278331] gpio gpiochip6: (gpio-96-127): created GPIO range 13->13 ==> 44e10800.pinmux PIN 141->141
Jan  1 00:00:18 debian-armhf kernel: [    4.278351] gpio gpiochip6: (gpio-96-127): created GPIO range 14->21 ==> 44e10800.pinmux PIN 100->107
Jan  1 00:00:18 debian-armhf kernel: [    4.278674] gpio gpiochip6: (gpio-96-127): added GPIO chardev (254:6)
Jan  1 00:00:18 debian-armhf kernel: [    4.278795] gpio gpiochip6: registered GPIOs 96 to 127 on gpio-96-127
Jan  1 00:00:18 debian-armhf kernel: [    4.289526] omap_reset_deassert: timedout waiting for gfx:0
Jan  1 00:00:18 debian-armhf kernel: [    4.295232] ti-sysc: probe of 5600fe00.target-module failed with error -110
Jan  1 00:00:18 debian-armhf kernel: [    4.310024] cpufreq: cpufreq_online: CPU0: Running at unlisted initial frequency: 550000 KHz, changing to: 600000 KHz
Jan  1 00:00:18 debian-armhf kernel: [    4.327181] sdhci-omap 48060000.mmc: GPIO lookup for consumer cd
Jan  1 00:00:18 debian-armhf kernel: [    4.327198] sdhci-omap 48060000.mmc: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.327259] of_get_named_gpiod_flags: parsed 'cd-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@60000/mmc@0[0]' - status (0)
Jan  1 00:00:18 debian-armhf kernel: [    4.327336] gpio gpiochip0: Persistence not supported for GPIO 6
Jan  1 00:00:18 debian-armhf kernel: [    4.327357] omap_gpio 44e07000.gpio: Could not set line 6 debounce to 200000 microseconds (-22)
Jan  1 00:00:18 debian-armhf kernel: [    4.336697] of_get_named_gpiod_flags: parsed 'gpios' property of node '/leds/led2[0]' - status (0)
Jan  1 00:00:18 debian-armhf kernel: [    4.336775] gpio gpiochip4: Persistence not supported for GPIO 21
Jan  1 00:00:18 debian-armhf kernel: [    4.336786] gpio-53 (?): no flags found for gpios
Jan  1 00:00:18 debian-armhf kernel: [    4.337002] of_get_named_gpiod_flags: parsed 'gpios' property of node '/leds/led3[0]' - status (0)
Jan  1 00:00:18 debian-armhf kernel: [    4.337020] gpio gpiochip4: Persistence not supported for GPIO 22
Jan  1 00:00:18 debian-armhf kernel: [    4.337028] gpio-54 (?): no flags found for gpios
Jan  1 00:00:18 debian-armhf kernel: [    4.337125] of_get_named_gpiod_flags: parsed 'gpios' property of node '/leds/led4[0]' - status (0)
Jan  1 00:00:18 debian-armhf kernel: [    4.337137] gpio gpiochip4: Persistence not supported for GPIO 23
Jan  1 00:00:18 debian-armhf kernel: [    4.337144] gpio-55 (?): no flags found for gpios
Jan  1 00:00:18 debian-armhf kernel: [    4.337246] of_get_named_gpiod_flags: parsed 'gpios' property of node '/leds/led5[0]' - status (0)
Jan  1 00:00:18 debian-armhf kernel: [    4.337259] gpio gpiochip4: Persistence not supported for GPIO 24
Jan  1 00:00:18 debian-armhf kernel: [    4.337266] gpio-56 (?): no flags found for gpios
Jan  1 00:00:18 debian-armhf kernel: [    4.338300] of_get_named_gpiod_flags: can't parse 'simple-audio-card,hp-det-gpio' property of node '/sound[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.338326] of_get_named_gpiod_flags: can't parse 'simple-audio-card,mic-det-gpio' property of node '/sound[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.338610] sdhci-omap 48060000.mmc: Got CD GPIO
Jan  1 00:00:18 debian-armhf kernel: [    4.343333] sdhci-omap 48060000.mmc: GPIO lookup for consumer wp
Jan  1 00:00:18 debian-armhf kernel: [    4.343342] sdhci-omap 48060000.mmc: using device tree for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.343376] of_get_named_gpiod_flags: can't parse 'wp-gpios' property of node '/ocp/interconnect@48000000/segment@0/target-module@60000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.343401] of_get_named_gpiod_flags: can't parse 'wp-gpio' property of node '/ocp/interconnect@48000000/segment@0/target-module@60000/mmc@0[0]'
Jan  1 00:00:18 debian-armhf kernel: [    4.343414] sdhci-omap 48060000.mmc: using lookup tables for GPIO lookup
Jan  1 00:00:18 debian-armhf kernel: [    4.343423] sdhci-omap 48060000.mmc: No GPIO consumer wp found
Jan  1 00:00:18 debian-armhf kernel: [    4.343602] sdhci-omap 48060000.mmc: supply vqmmc not found, using dummy regulator
Jan  1 00:00:18 debian-armhf kernel: [    4.361188] ALSA device list:
Jan  1 00:00:18 debian-armhf kernel: [    4.364198]   #0: Simple Audio AM335x Roomplayer
Jan  1 00:00:18 debian-armhf kernel: [    4.440806] mmc0: SDHCI controller on 48060000.mmc [48060000.mmc] using External DMA
Jan  1 00:00:18 debian-armhf kernel: [    4.491629] EXT4-fs (mmcblk1p4): mounted filesystem with ordered data mode. Opts: (null)
Jan  1 00:00:18 debian-armhf kernel: [    4.499966] VFS: Mounted root (ext4 filesystem) readonly on device 179:4.
Jan  1 00:00:18 debian-armhf kernel: [    4.526849] devtmpfs: mounted
Jan  1 00:00:18 debian-armhf kernel: [    4.531389] Freeing unused kernel memory: 1024K
Jan  1 00:00:18 debian-armhf kernel: [    4.536423] Run /sbin/init as init process
Jan  1 00:00:18 debian-armhf kernel: [    4.540561]   with arguments:
Jan  1 00:00:18 debian-armhf kernel: [    4.540568]     /sbin/init
Jan  1 00:00:18 debian-armhf kernel: [    4.540573]   with environment:
Jan  1 00:00:18 debian-armhf kernel: [    4.540578]     HOME=/
Jan  1 00:00:18 debian-armhf kernel: [    4.540582]     TERM=linux
Jan  1 00:00:18 debian-armhf kernel: [   10.208462] EXT4-fs (mmcblk1p4): re-mounted. Opts: (null)
Jan  1 00:00:18 debian-armhf kernel: [   10.465094] EXT4-fs (mmcblk1p4): re-mounted. Opts: errors=remount-ro
Jan  1 00:00:18 debian-armhf kernel: [   15.412200] cpsw 4a100000.ethernet: initializing cpsw version 1.12 (0)
Jan  1 00:00:18 debian-armhf kernel: [   15.424245] Generic PHY 4a101000.mdio:01: attached PHY driver [Generic PHY] (mii_bus:phy_addr=4a101000.mdio:01, irq=POLL)
Jan  1 00:00:18 debian-armhf kernel: [   15.437033] cpsw 4a100000.ethernet eth0: Link is Up - 100Mbps/Full - flow control off
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Booting Linux on physical CPU 0x0
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Linux version 5.10.100-g7a7a3af903 (root@Ubuntu) (arm-none-linux-gnueabihf-gcc (GNU Toolchain for the A-profile Architecture 9.2-2019.12 (arm-9.10)) 9.2.1 20191025, GNU ld (GNU Toolchain for the A-profile Architecture 9.2-2019.12 (arm-9.10)) 2.33.1.20191209) #63 PREEMPT Thu Nov 24 22:32:46 CET 2022
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] CPU: ARMv7 Processor [413fc082] revision 2 (ARMv7), cr=10c5387d
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] CPU: PIPT / VIPT nonaliasing data cache, VIPT aliasing instruction cache
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] OF: fdt: Machine model: Lars Board
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Memory policy: Data cache writeback
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] efi: UEFI not found.
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] cma: Reserved 48 MiB at 0x9c800000
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Zone ranges:
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   Normal   [mem 0x0000000080000000-0x000000009fefffff]
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   HighMem  empty
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Movable zone start for each node
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Early memory node ranges
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   node   0: [mem 0x0000000080000000-0x000000009fefffff]
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Initmem setup node 0 [mem 0x0000000080000000-0x000000009fefffff]
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] On node 0 totalpages: 130816
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   Normal zone: 1150 pages used for memmap
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   Normal zone: 0 pages reserved
Nov 28 17:17:51 debian-armhf kernel: [    0.000000]   Normal zone: 130816 pages, LIFO batch:31
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] CPU: All CPU(s) started in SVC mode.
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] AM335X ES2.1 (neon)
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] pcpu-alloc: s0 r0 d32768 u32768 alloc=1*32768
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] pcpu-alloc: [0] 0 
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Built 1 zonelists, mobility grouping on.  Total pages: 129666
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Kernel command line: console=ttyS0,115200n8 drm.debug=7 root=/dev/mmcblk1p4 ro rootfstype=ext4 rootwait
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Dentry cache hash table entries: 65536 (order: 6, 262144 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Inode-cache hash table entries: 32768 (order: 5, 131072 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] mem auto-init: stack:off, heap alloc:off, heap free:off
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] Memory: 453268K/523264K available (9216K kernel code, 807K rwdata, 3428K rodata, 1024K init, 294K bss, 20844K reserved, 49152K cma-reserved, 0K highmem)
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] SLUB: HWalign=64, Order=0-3, MinObjects=0, CPUs=1, Nodes=1
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] rcu: Preemptible hierarchical RCU implementation.
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] 	Trampoline variant of Tasks RCU enabled.
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] rcu: RCU calculated value of scheduler-enlistment delay is 10 jiffies.
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] NR_IRQS: 16, nr_irqs: 16, preallocated irqs: 16
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] IRQ: Found an INTC at 0x(ptrval) (revision 5.0) with 128 interrupts
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] random: get_random_bytes called from start_kernel+0x30c/0x4c8 with crng_init=0
Nov 28 17:17:51 debian-armhf kernel: [    0.000000] TI gptimer clocksource: always-on /ocp/interconnect@44c00000/segment@200000/target-module@31000
Nov 28 17:17:51 debian-armhf kernel: [    0.000015] sched_clock: 32 bits at 24MHz, resolution 41ns, wraps every 89478484971ns
Nov 28 17:17:51 debian-armhf kernel: [    0.000043] clocksource: dmtimer: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 79635851949 ns
Nov 28 17:17:51 debian-armhf kernel: [    0.000545] TI gptimer clockevent: 24000000 Hz at /ocp/interconnect@48000000/segment@0/target-module@40000
Nov 28 17:17:51 debian-armhf kernel: [    0.002029] Console: colour dummy device 80x30
Nov 28 17:17:51 debian-armhf kernel: [    0.002136] Calibrating delay loop... 548.86 BogoMIPS (lpj=2744320)
Nov 28 17:17:51 debian-armhf kernel: [    0.050655] pid_max: default: 32768 minimum: 301
Nov 28 17:17:51 debian-armhf kernel: [    0.050896] Mount-cache hash table entries: 1024 (order: 0, 4096 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    0.050923] Mountpoint-cache hash table entries: 1024 (order: 0, 4096 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    0.052154] CPU: Testing write buffer coherency: ok
Nov 28 17:17:51 debian-armhf kernel: [    0.052254] CPU0: Spectre v2: using BPIALL workaround
Nov 28 17:17:51 debian-armhf kernel: [    0.053403] Setting up static identity map for 0x80100000 - 0x80100060
Nov 28 17:17:51 debian-armhf kernel: [    0.053613] rcu: Hierarchical SRCU implementation.
Nov 28 17:17:51 debian-armhf kernel: [    0.054594] EFI services will not be available.
Nov 28 17:17:51 debian-armhf kernel: [    0.055214] devtmpfs: initialized
Nov 28 17:17:51 debian-armhf kernel: [    0.072258] VFP support v0.3: implementor 41 architecture 3 part 30 variant c rev 3
Nov 28 17:17:51 debian-armhf kernel: [    0.072633] clocksource: jiffies: mask: 0xffffffff max_cycles: 0xffffffff, max_idle_ns: 19112604462750000 ns
Nov 28 17:17:51 debian-armhf kernel: [    0.072668] futex hash table entries: 256 (order: -1, 3072 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    0.077084] pinctrl core: initialized pinctrl subsystem
Nov 28 17:17:51 debian-armhf kernel: [    0.078313] DMI not present or invalid.
Nov 28 17:17:51 debian-armhf kernel: [    0.078958] NET: Registered protocol family 16
Nov 28 17:17:51 debian-armhf kernel: [    0.082318] DMA: preallocated 256 KiB pool for atomic coherent allocations
Nov 28 17:17:51 debian-armhf kernel: [    0.103495] l3-aon-clkctrl:0000:0: failed to disable
Nov 28 17:17:51 debian-armhf kernel: [    0.105174] thermal_sys: Registered thermal governor 'fair_share'
Nov 28 17:17:51 debian-armhf kernel: [    0.105192] thermal_sys: Registered thermal governor 'bang_bang'
Nov 28 17:17:51 debian-armhf kernel: [    0.105211] thermal_sys: Registered thermal governor 'step_wise'
Nov 28 17:17:51 debian-armhf kernel: [    0.105224] thermal_sys: Registered thermal governor 'user_space'
Nov 28 17:17:51 debian-armhf kernel: [    1.930207] No ATAGs?
Nov 28 17:17:51 debian-armhf kernel: [    1.930253] hw-breakpoint: debug architecture 0x4 unsupported.
Nov 28 17:17:51 debian-armhf kernel: [    1.969561] reg-fixed-voltage fixedregulator0: GPIO lookup for consumer (null)
Nov 28 17:17:51 debian-armhf kernel: [    1.969583] reg-fixed-voltage fixedregulator0: using device tree for GPIO lookup
Nov 28 17:17:51 debian-armhf kernel: [    1.969638] of_get_named_gpiod_flags: can't parse 'gpios' property of node '/fixedregulator0[0]'
Nov 28 17:17:51 debian-armhf kernel: [    1.969668] of_get_named_gpiod_flags: can't parse 'gpio' property of node '/fixedregulator0[0]'
Nov 28 17:17:51 debian-armhf kernel: [    1.969686] reg-fixed-voltage fixedregulator0: using lookup tables for GPIO lookup
Nov 28 17:17:51 debian-armhf kernel: [    1.969701] reg-fixed-voltage fixedregulator0: No GPIO consumer (null) found
Nov 28 17:17:51 debian-armhf kernel: [    1.971572] iommu: Default domain type: Translated 
Nov 28 17:17:51 debian-armhf kernel: [    1.975103] mc: Linux media interface: v0.10
Nov 28 17:17:51 debian-armhf kernel: [    1.975178] videodev: Linux video capture interface: v2.00
Nov 28 17:17:51 debian-armhf kernel: [    1.975325] pps_core: LinuxPPS API ver. 1 registered
Nov 28 17:17:51 debian-armhf kernel: [    1.975342] pps_core: Software ver. 5.3.6 - Copyright 2005-2007 Rodolfo Giometti <giometti@linux.it>
Nov 28 17:17:51 debian-armhf kernel: [    1.975377] PTP clock support registered
Nov 28 17:17:51 debian-armhf kernel: [    1.975481] EDAC MC: Ver: 3.0.0
Nov 28 17:17:51 debian-armhf kernel: [    1.976836] Advanced Linux Sound Architecture Driver Initialized.
Nov 28 17:17:51 debian-armhf kernel: [    1.978319] clocksource: Switched to clocksource dmtimer
Nov 28 17:17:51 debian-armhf kernel: [    1.991190] NET: Registered protocol family 2
Nov 28 17:17:51 debian-armhf kernel: [    1.991488] IP idents hash table entries: 8192 (order: 4, 65536 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.992966] tcp_listen_portaddr_hash hash table entries: 512 (order: 0, 4096 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.993041] TCP established hash table entries: 4096 (order: 2, 16384 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.993115] TCP bind hash table entries: 4096 (order: 2, 16384 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.993184] TCP: Hash tables configured (established 4096 bind 4096)
Nov 28 17:17:51 debian-armhf kernel: [    1.993331] UDP hash table entries: 256 (order: 0, 4096 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.993367] UDP-Lite hash table entries: 256 (order: 0, 4096 bytes, linear)
Nov 28 17:17:51 debian-armhf kernel: [    1.993535] NET: Registered protocol family 1
Nov 28 17:17:51 debian-armhf kernel: [    1.994281] RPC: Registered named UNIX socket transport module.
Nov 28 17:17:51 debian-armhf kernel: [    1.994304] RPC: Registered udp transport module.
Nov 28 17:17:51 debian-armhf kernel: [    1.994316] RPC: Registered tcp transport module.
Nov 28 17:17:51 debian-armhf kernel: [    1.994328] RPC: Registered tcp NFSv4.1 backchannel transport module.
Nov 28 17:17:51 debian-armhf kernel: [    1.994354] PCI: CLS 0 bytes, default 64
Nov 28 17:17:51 debian-armhf kernel: [    1.995774] hw perfevents: enabled with armv7_cortex_a8 PMU driver, 5 counters available
